P-Strategy,D-H13,D-S13,D-H14,D-S14,D-H15,D-S15,D-H16,D-S16,D-H17,D-S17,D-H18,D-S18,D-H19,D-S19,D-H20,D-S20
P-13H,44.0,44.0,43.0,43.0,38.0,50.0,44.0,52.0,44.0,41.0,47.0,57.0,56.0,59.0,66.0,66.0
P-13S,49.0,52.0,49.0,44.0,46.0,49.0,44.0,47.0,47.0,48.0,50.0,47.0,60.0,56.0,66.0,50.0
P-14H,54.0,52.0,45.0,60.0,50.0,47.0,40.0,47.0,50.0,44.0,51.0,46.0,46.0,53.0,58.0,64.0
P-14S,55.0,52.0,42.0,46.0,45.0,54.0,42.0,39.0,45.0,41.0,45.0,43.0,60.0,51.0,64.0,59.0
P-15H,54.0,46.0,48.0,57.0,58.0,47.0,40.0,49.0,42.0,42.0,42.0,39.0,48.0,56.0,65.0,68.0
P-15S,54.0,61.0,47.0,55.0,53.0,53.0,42.0,46.0,40.0,42.0,47.0,50.0,46.0,58.0,70.0,61.0
P-16H,58.0,62.0,56.0,49.0,51.0,48.0,51.0,49.0,47.0,51.0,45.0,48.0,49.0,47.0,54.0,54.0
P-16S,56.0,60.0,51.0,51.0,51.0,58.0,50.0,54.0,42.0,49.0,46.0,50.0,52.0,50.0,53.0,44.0
P-17H,56.0,50.0,56.0,52.0,45.0,54.0,53.0,46.0,45.0,50.0,45.0,52.0,53.0,54.0,46.0,47.0
P-17S,52.0,51.0,55.0,48.0,34.0,47.0,48.0,44.0,54.0,48.0,57.0,49.0,40.0,47.0,46.0,60.0
P-18H,50.0,49.0,35.0,42.0,51.0,46.0,50.0,37.0,44.0,49.0,52.0,42.0,38.0,39.0,52.0,35.0
P-18S,44.0,48.0,51.0,48.0,54.0,46.0,49.0,43.0,45.0,41.0,46.0,48.0,35.0,35.0,46.0,54.0
P-19H,44.0,39.0,45.0,37.0,41.0,44.0,45.0,46.0,39.0,41.0,33.0,48.0,34.0,24.0,31.0,42.0
P-19S,42.0,48.0,35.0,35.0,45.0,46.0,37.0,42.0,35.0,39.0,47.0,36.0,40.0,28.0,39.0,37.0
P-20H,30.0,34.0,35.0,29.0,24.0,29.0,35.0,38.0,34.0,33.0,32.0,34.0,23.0,26.0,31.0,32.0
P-20S,36.0,31.0,32.0,36.0,37.0,40.0,31.0,37.0,37.0,27.0,29.0,30.0,26.0,26.0,39.0,22.0
